title	originalTitle	sortingTitle	summary	platformList	myRating	criticsScore	developers	genres	publishers	releaseDate	originalReleaseDate	themes	gameMins	lastPlayed	tags	dlcs	isHidden	osCompatibility	backgroundImage	squareIcon	verticalCover
Saints Row IV	Saints Row IV	Saints Row 4	Unlike the first three games in the franchise, Saints Row 4 does not center around the main character defeating three rival gangs in order to take over a city. The Saints have now become a household name, and their leader has become the president of the Unites States. The antagonists in Saints Row 4 are an invading alien race known as the Zin. Most of the game takes place within a computer simulation of the city of Steelport controlled by the Zin, where the protagonist is attempting to free himself and his companions.	Steam	4	84	"High Voltage Software	Volition"	"Adventure	Shooter"	Deep Silver	2013-08-19	2013-08-19	"Action	Comedy	Open world	Sandbox	Science fiction"	1207	2021-08-31 13:34:59	Ended		False	Windows	https://images.gog.com/155b53d68404cae94e8f2a59bf0ca44e465020ffefdc4078d3925d4a5eed7422_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/7e1b558279d4da4b4d1aead1f6d065c93bebd4200c496aa8e5511544caa3b348_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/5cce0da001e98fbc3144656834499d241dbc3ce4eb128cb83544256bd45b5b5e_glx_vertical_cover.webp?namespace=gamesdb
Saints Row IV Re-Elected	Saints Row IV Re-Elected	Saints Row 4 ReElected	Saints Row IV: Re-Elected is an updated port version of Saints Row IV, originally ported to Xbox One and Playstation 4, and later on to Nintendo Switch.	Epic Games Store	3	77	Deep Silver Volition	"Adventure	Shooter"	Deep Silver	2015-01-20	2015-01-20	"Action	Comedy	Open world	Sandbox	Science fiction"			Star		False	"macOS	Windows"	https://images.gog.com/e68b6f7a69a6b57822d20b320133be9a730c5723845064a19dbe437f22f2c7b8_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/bdf040ac56592bdac9ba3c7cada4a75102a89a4b49d67b48e24e4049a371cf6d_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/fb9d394b7b79fd45f0f50bb4c16a87b3a27569f074e21f229ebd5e45dedc22a4_glx_vertical_cover.webp?namespace=gamesdb
Saints Row: Gat Out of Hell	Saints Row: Gat Out of Hell	Saints Row Gat Out of Hell	After the space faring antics of Saints Row IV, many fans asked what we could do next… the answer? Shoot The Devil in the face. Play as either Johnny Gat or Kinzie Kensington as you tear apart Hell in a quest to save the leader of the Saints’ soul. Historical icons, old friends, older enemies, a talking gun, a full length musical number, and a whole lot of other shenanigans all await you in the open world standalone expansion playground that is Saints Row: Gat Out Of Hell.	"GOG	Steam"	4	64	"High Voltage Software	Volition"	"Adventure	Shooter"	Deep Silver	2015-01-20	2015-01-20	"Action	Comedy	Horror	Open world"	337	2021-08-31 13:33:55	Ended		False	Windows	https://images.gog.com/6fd7f2f842a96c5be506444d83bfd0c3c5175bf67e9b9f86941d8783181f37a4_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/588a1b4eef0c2d44b5b15a5042e1860a776c79f2034ee66509b97bc33a85ef21_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/c1c4980e939ac0629bd760a9e26f8261ded28dff19c8174cb3b07fab66d461cf_glx_vertical_cover.webp?namespace=gamesdb
Saints Row: Gat out of Hell - Amazon Prime	Saints Row: Gat out of Hell - Amazon Prime	Saints Row Gat out of Hell Amazon Prime	"<a href=""http://www.gog.com/promo/play-on-luna"">\n<img src=""https://items.gog.com/promobanners/amazon-luna.png"">\n</a>\n<hr>\n\nAfter the space faring antics of Saints Row IV, many fans asked what we could do next… the answer? Shoot The Devil in the face. Play as either Johnny Gat or Kinzie Kensington as you tear apart Hell in a quest to save the leader of the Saints’ soul. Historical icons, old friends, older enemies, a talking gun, a full length musical number, and a whole lot of other shenanigans all await you in the open world standalone expansion playground that is <b>Saints Row: Gat Out Of Hell</b>.\n\n<b>Play as Johnny Gat or Kinzie Kensington</b> – For the first time ever, play as the fan favorites Johnny Gat and Kinzie Kensington, alone or in 2-player online co-op.\n\n<b>An Open World from Hell</b> – Wage war against the Prince of Darkness through-out the 5 unique districts of hell any way you want: rescue allies, pick a fight with nightmarish Arch-Dukes, rob Satan’s soul processing plants… dozens of options await you in an all new city unlike any that’s been seen in Saints Row before.\n\n<b>New Supernatural Powers</b> –The acclaimed super powers of Saints Row 4 are back with a hellish twist - Soar through the air on fallen angel’s wings, summon devilish imps to attack your foes, and surround yourself in a divine aura that forces all to worship you.\n\n<b>Outrageous Weapons</b> – Put the 7 deadly sins to good use with an arsenal of underworld themed arms: fire exploding frogs at enemies, shoot swarms of locusts, and even deal destruction from afterlife’s most comfortable (and lethal) armchair.\n\n<b>Kill Dex</b> – We promise you can do it this time. Pinky swear."	GOG						2025-06-02	2025-06-02						False				
Saints Row: The Third	Saints Row: The Third	Saints Row The Third	Saints Row: The Third is the first Saints Row game that takes place in the city of Steelport. Much like the first two games, the story revolves around the Saints destroying and absorbing three rival gangs, taking over the city in the process. In Saints Row: The Third, these three gangs are the Morningstar, the Luchadores, and the Deckers. Unlike the first two games, these three gangs are all controlled by a criminal organization known as The Syndicate, which the saints must also deal with.	Steam		84	Volition	"Adventure	Racing	Shooter"	"CyberFront	Deep Silver	Square Enix	THQ"	2011-11-15	2011-11-15	"Action	Comedy	Open world	Sandbox"	729	2016-06-26 14:37:16	Ended		False	"Linux	Windows"	https://images.gog.com/ec782e8fc448b2b3a468918f7de0b447e9a8ca449f1bd874aa750112cc6afe35_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/4bf1fd4fddfd4eba4c20524a76ceb02904bf68427c433faffe935f7da5f9f0f5_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/5a004d14e624a99ee2620ad5810cef9f03d182d71d35af4e8a02e4c606714757_glx_vertical_cover.webp?namespace=gamesdb
Saints Row The Third Remastered	Saints Row The Third Remastered	Saints Row The Third Remastered	Saints Row®: The Third™ Remastered gives you control of the Saints at the height of their power, and you live the life to show for it. This is your City. These are your rules.\nRemastered with enhanced graphics, Steelport the original city of sin, has never looked so good as it drowns in sex, drugs and guns.\nYears after taking Stilwater for their own, the Third Street Saints have evolved from street gang to household brand name, with Saints sneakers, Saints energy drinks and Johnny Gat bobblehead dolls all available at a store near you. The Saints are kings of Stilwater, but their celebrity status has not gone unnoticed. The Syndicate, a legendary criminal fraternity with pawns in play all over the globe, has turned its eye on the Saints and demands tribute.\nRefusing to kneel to the Syndicate, you take the fight to Steelport, a once-proud metropolis reduced to a struggling city of sin under Syndicate control. Take a tank skydiving, call in a satellite-targeted airstrike on a Mexican wrestling gang, and fight against a highly-trained military force by your lonesome in the most outlandish gameplay scenarios ever seen.\nWeapons of Crass Destruction – It’s one thing to defeat your enemies. It’s another to humiliate them. Hover jets, human cannonball cars and outrageous melee weapons are all part of the fun.\nCrazy Character Customisation – Create the most outlandish characters ever seen, from washed-up celebrities to maskless ninja pirates. Inside every sinner, there is a Saint. Who will you become?\nOver The Top Co-op – Fly solo or play online with a homie. Give freefall skydiving a try, landing in your partner’s flaming pickup as you make a desperate run toward a heavily armed Syndicate base. Steelport is always more fun with a friend.\nAll DLC included – All three expansion mission packs and 30 pieces of DLC from the original version.	"Epic Games Store	GOG"	3	72	Deep Silver Volition		Deep Silver	2020-05-22	2020-05-22	Action	946		Ended		False	Windows	https://images.gog.com/1fff3b68987b8929a06688cc6c9676f74b845d0c69def1e91259f4726de61e75_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/d5b0d87e86c535f8b4d2cadcd2d8674e629acd348709b64a419e97858cb6c3c4_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/a13e9e9c21752485e4e79631bb5059a4b4e6a17a5a44ab9133b5e63c485317e6_glx_vertical_cover.webp?namespace=gamesdb
Saints Row®: The Third™ Remastered - Amazon Prime	Saints Row®: The Third™ Remastered - Amazon Prime	Saints Row The Third Remastered Amazon Prime	"Saints Row®: The Third™ - Remastered gives you control of the Saints at the height of their power, and you live the life to show for it. This is your City. These are your rules.\n\n\n\n\n\nRemastered with enhanced graphics, Steelport the original city of sin, has never looked so good as it drowns in sex, drugs and guns.\n\n\n\n\n<video muted preload=""auto"" loop autoplay=""autoplay"" style=""margin: auto;display:block;width:100%"">\n  <source src=""https://items.gog.com/saints_row_the_third_remastered/mp4/1.mp4""></video>\n\n\n\nYears after taking Stilwater for their own, the Third Street Saints have evolved from street gang to household brand name, with Saints sneakers, Saints energy drinks and Johnny Gat bobblehead dolls all available at a store near you. The Saints are kings of Stilwater, but their celebrity status has not gone unnoticed. The Syndicate, a legendary criminal fraternity with pawns in play all over the globe, has turned its eye on the Saints and demands tribute.\n\n\n\n\n<video muted preload=""auto"" loop autoplay=""autoplay"" style=""margin: auto;display:block;width:100%"">\n  <source src=""https://items.gog.com/saints_row_the_third_remastered/mp4/2.mp4""></video>\n\n\nRefusing to kneel to the Syndicate, you take the fight to Steelport, a once-proud metropolis reduced to a struggling city of sin under Syndicate control. Take a tank skydiving, call in a satellite-targeted airstrike on a Mexican wrestling gang, and fight against a highly-trained military force by your lonesome in the most outlandish gameplay scenarios ever seen.""\n\n\n\n\n\nThe Full Package, Remastered  – With enhanced graphics, improved lighting, reworked environments, and visual effects, Steelport and The Third Street Saints have never looked so good.\n\n\n\n\n\n<b>City of Sin</b> - Disrupt and dismantle the Syndicate stranglehold on weapons, cybercrime, and criminal rackets.  Discover the secrets of Steelport, where there is action on every street corner, for better or, more likely, worse.\n\n\n\n\n\n<b>Weapons of Crass Destruction </b>– It’s one thing to defeat your enemies.  It’s another to humiliate them.  Hover jets, human cannonball cars and outrageous melee weapons are all part of the fun.\n\n\n\n\n\n<b>Crazy Character Customisation </b>– Create the most outlandish characters ever seen, from washed-up celebrities to maskless ninja pirates.  Inside every sinner, there is a Saint.  Who will you become?\n\n\n\n\n\n<b>Over The Top Co-op </b>– Fly solo or play online with a homie."	GOG						2025-06-02	2025-06-02						False				
Salt and Sanctuary	Salt and Sanctuary	Salt and Sanctuary	"""Salt and Sanctuary seamlessly combines fast, brutal, and complex 2D combat with richly developed RPG mechanics. Discover, craft, and upgrade over 600 weapons, armor pieces, spells, and items as you explore a cursed realm of forgotten cities, blood-soaked dungeons, desecrated monuments, and the fallen lords they once celebrated."""	Epic Games Store		85	Ska Studios	"Adventure	Indie	Platform	Role-playing (RPG)"	Ska Studios	2016-03-15	2016-03-15	"Action	Fantasy	Horror"	163		Maybe Return		False	"Linux	macOS	Windows"	https://images.gog.com/69cd47e809a4c6a239243e6c8819411b7c7aee452fa687d2240dec0ed45be85a_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/0e02b1eda5c0b787bc6ccc86298b79309b14faf236e35e0f89b4a50c0b240552_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/c5717ca20a817e3b17b770c34326749e1b64215e1f393f8b0de9e44c66f9b1af_glx_vertical_cover.webp?namespace=gamesdb
Samurai Bringer	Samurai Bringer	Samurai Bringer	Samurai Bringer is a roguelite action game with levels which change with every playthrough, where you cut down hordes of Samurai and Demons to collect combat techniques and polish your fighting style in order to defeat Yamata-no-Orochi, the eight-headed dragon of Japanese mythology.	Amazon			Alphawing	"Adventure	Arcade	Hack and slash/Beat 'em up	Indie	Puzzle	Role-playing (RPG)"	PLAYISM	2022-04-20	2022-04-20	"Action	Historical"			LowPriority		False		https://images.gog.com/004fed07760401f18accabee18f2c488fddb6c70266d73dbbf63137312d5c20b_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/271e91de7c629ae046be702318700b1db766a611c1930afcfb27d20bfbedb723_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/9b2cee92b7870f1f06f35339a0c3a15c758ed17b9e75ac4722f23a0f7200925f_glx_vertical_cover.webp?namespace=gamesdb
Samurai Shodown IV: Amakusa's Revenge	Samurai Shodown IV: Amakusa's Revenge	Samurai Shodown 4 Amakusas Revenge	After the defeat of the fearsome warrior Zankuro, a sinister castle rises belonging to the evil sorceror Amakusa (the antagonist from the first game) rises in the fourth installment of the Samurai Shodown series.	Amazon				Fighting		2025-06-02	2025-06-02				LowPriority		False		https://images.gog.com/aa09e928f95332149aaa38e489ccb2723dc8a8360caa29ddb777e927776f4cd6_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/5619761113d61f6c46aac068aa6b293f783b9f5cc2f2db489d9da3d9649463f7_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/5a67eee70c7b7c4f279019104bd426d16117f898b03b92cfc9902ec7cb0760fc_glx_vertical_cover.webp?namespace=gamesdb
SAMURAI SHODOWN NEOGEO COLLECTION	SAMURAI SHODOWN NEOGEO COLLECTION	SAMURAI SHODOWN NEOGEO COLLECTION	The ULTIMATE collection is here! Six NEOGEO titles as well as one mysterious, unreleased game are featured! Featuring Online Battle Modes as well as a Museum Mode and Music Player. This collection is a must-have for all SAMURAI SHODOWN fans across the globe!	Epic Games Store		80	"Digital Eclipse	SNK"	Fighting	SNK	2020-06-18	2020-06-18	Action			LowPriority		False	Windows	https://images.gog.com/4e3e819c5ca35915e6aa7e5f3c09478d84583f76025742b9f9caaf3666b30571_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/95cc86787691f01a40ab0a44f1046c7b1a797d3ebe1b2c2185fac386b1a51115_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/10b2548f8fbbcccc54a0c8bc1895ae87aea9ce8a1841547480e69a353a2f2721_glx_vertical_cover.webp?namespace=gamesdb
Sanctum 2	Sanctum 2	Sanctum 2	In Sanctum 2, you will have to utilize elements of multiple gameplay genres to succeed. Build towers and walls during the building phase before the enemies attack, then jump into the fray and help your towers blast everything to pieces in FPS-mode. You can progress through the single player campaign yourself, or play up to 4-player co-op with your friends to discover the secrets of the planet LOEK III and why the aliens are so set on destroying the Cores you are sworn to protect.	Steam		80	Coffee Stain Studios	"Indie	Real Time Strategy (RTS)	Shooter	Strategy"	"Coffee Stain Studios	D3 Publisher	Reverb Communications"	2013-05-15	2013-05-15	"Action	Science fiction	Survival	Warfare"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/70fb2459af3ee2881c1758218b8fef70c5f0cff57ca14494ae4ca5b9fe29d316_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/c6e0d0f3e86a14fc6107279d98dd9d97d0ebf78aa26fcd58190d4a7313c98442_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/7eea8ddfef30f484debd062837236063771ba59214b28e358b6138239ea400d0_glx_vertical_cover.webp?namespace=gamesdb
Sands of Aura	Sands of Aura	Sands of Aura	A powerful spell has turned a lush world into a sea of liquid sand. You must navigate between the ruins – delving deep into dungeons, fighting off the evil that lurks within them, acquiring powerful equipment, and uncovering the history beneath the sand.	Epic Games Store			Chashu Entertainment	"Indie	Role-playing (RPG)"	Chashu Entertainment	2025-06-02	2025-06-02	Action			LowPriority		False	"macOS	Windows"	https://images.gog.com/69b71cc1d9f5a832465843236b35f4fd07e7f8058b1753fd7d529c8d372afb4e_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/ac1320b176b2d91b00bcf6df605930018f1624f886d76ce899eadfccee504968_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/6a06c459c2b6bcbfd52d9c5d041720535b0ede1d75064ca5f9d51c6d8cf5fd7a_glx_vertical_cover.webp?namespace=gamesdb
Sang-Froid: Tales of Werewolves	Sang-Froid: Tales of Werewolves	SangFroid Tales of Werewolves	Combining action and strategy in a unique way, Sang-Froid: Tales of Werewolves transports you into an epic folktale co-written with best-selling Canadian author Bryan Perro (Amos Daragon, Wariwulf), in which two feuding brothers will have to put aside their differences to save their sister, who is pursued by the Devil himself!\n\nThis time however, sheer brute strength won't be enough to save the day as your enemies are way stronger than you are. Only your wits and the ability to combine ingenious traps to setup deadly ambushes will give you a chance to see the sun rise again on your frozen piece of forest...	GOG	2	90	Artifice Studio	"Adventure	Indie	Role-playing (RPG)	Strategy"	Artifice Studio	2013-03-15	2013-03-15	Action	5	2022-08-02 14:04:59	HighPriority		False	Windows	https://images.gog.com/b696a7c45e1e74355f045e177649eac8fd2007839dfb4abe287c9396b9dc8698_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/92a779edc8f8b01aa2509935454a9e4c2fe5f564455de7dea278fdf2d69ae79c_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/92a779edc8f8b01aa2509935454a9e4c2fe5f564455de7dea278fdf2d69ae79c_glx_vertical_cover.webp?namespace=gamesdb
